Season,Club (grouped),Club,First Name,Last Name,Position,Total Compensation,Base Salary
2018,DC,DC,Zoltan,Stieber,M,"$1,000,000 ","$1,000,000 "
2018,LAG,LA,Jorgen,Skjelvik,D,"$1,000,000 ","$900,000 "
2018,VAN,VAN,Kei,Kamara,F,"$1,000,000 ","$1,000,000 "
2018,RBNY,NYRB,Marc,Rzatkowski,M,"$976,167 ","$885,000 "
2018,FCD,DAL,Mauro,Diaz,M,"$949,890 ","$853,000 "
2018,LAFC,LAFC,Adama,Diomande,F,"$935,000 ","$850,000 "
2018,LAG,LA,Ola,Kamara,F,"$925,000 ","$825,000 "
2018,NE,NE,Claude,Dielna,D,"$909,861 ","$780,000 "
2018,RSL,RSL,Albert,Rusnak,M,"$907,821 ","$850,008 "
2018,COL,COL,Yannick,Boli,F,"$907,500 ","$775,000 "
2018,KC,KC,Roger,Espinoza,M,"$900,000 ","$900,000 "
2018,CLB,CLB,Jonathan,Mensah,D,"$868,996 ","$774,996 "
2018,ORL,ORL,Lamine,Sane,D,"$855,000 ","$807,500 "
2018,COL,COL,Stefan,Aigner,M,"$845,885 ","$800,000 "
2018,TFC,TOR,Gregory,Van Der Wiel,D,"$835,000 ","$800,000 "
2018,FCD,DAL,Roland,Lamah,M,"$818,500 ","$675,000 "
2018,NYC,NYCFC,Jo Inge,Berget,F,"$816,667 ","$600,000 "
2018,MTL,MTL,Alejandro,Silva,M,"$800,040 ","$800,040 "
2018,SJ,SJ,Chris,Wondolowski,F,"$800,000 ","$800,000 "
2018,FCD,DAL,Reto,Ziegler,D,"$800,000 ","$750,000 "
2018,MTL,MTL,Saphir,Taider,M,"$800,000 ","$800,000 "
2018,CLB,CLB,Pedro,Santos,M,"$794,600 ","$747,600 "
2018,POR,POR,Larrys,Mabiala,D,"$793,333 ","$750,000 "
2018,KC,KC,Matt,Besler,D,"$783,250 ","$750,000 "
2018,KC,KC,Graham,Zusi,D,"$782,102 ","$750,000 "
2018,FCD,DAL,Maximiliano,Urruti,F,"$781,000 ","$700,000 "
2018,NYC,NYCFC,Jesus,Medina,M,"$770,833 ","$650,000 "
2018,ATL,ATL,Hector,Villalba,F,"$770,750 ","$663,000 "
2018,VAN,VAN,Brek,Shea,D-M,"$745,000 ","$700,000 "
2018,FCD,DAL,Carlos,Gruezo,M,"$730,750 ","$595,000 "
2018,LAG,LA,Ashley,Cole,D,"$722,500 ","$450,000 "
2018,MTL,MTL,Matteo,Mancosu,F,"$719,542 ","$700,000 "
2018,CHI,CHI,Dax,McCarty,M,"$712,500 ","$700,000 "
2018,RSL,RSL,Marcelo,Silva,D,"$711,875 ","$675,000 "
2018,MTL,MTL,Rod,Fanni,D,"$710,000 ","$690,000 "
